species,Year,JulianDay,Location
Ctenodon martii,1974,52,NA
Ctenodon martii,1991,91,NA
Ctenodon martii,1991,84,NA
Ctenodon martii,1997,57,NA
Ctenodon martii,2010,97,NA
Ctenodon martii,1973,99,NA
Ctenodon martii,2010,113,NA
Ctenodon martii,2012,13,NA
Ctenodon martii,2002,33,NA
Ctenodon martii,2011,65,NA
Ctenodon martii,1983,56,NA
Ctenodon martii,2010,51,NA
Ctenodon martii,1985,106,NA
Ctenodon martii,1985,83,NA
Ctenodon martii,2008,66,NA
Ctenodon martii,2008,61,NA
Ctenodon martii,2008,43,NA
Ctenodon martii,2009,93,NA
Ctenodon martii,2009,90,NA
Ctenodon martii,2008,108,NA
Ctenodon martii,2008,48,NA
Ctenodon martii,2008,72,NA
Ctenodon martii,2005,30,NA
Ctenodon martii,2007,52,NA
Ctenodon martii,2006,117,NA
Ctenodon martii,2006,116,NA
Ctenodon martii,2006,77,NA
Ctenodon martii,2006,67,NA
Ctenodon martii,2006,4,NA
Ctenodon martii,2004,53,NA
Ctenodon martii,2004,35,NA
Ctenodon martii,2004,40,NA
Ctenodon martii,2003,87,NA
Ctenodon martii,2000,87,NA
Ctenodon martii,1997,37,NA
Ctenodon martii,2000,26,NA
Ctenodon martii,2001,117,NA
Ctenodon martii,2000,1,NA
Ctenodon martii,1996,16,NA
Ctenodon martii,1994,72,NA
Ctenodon martii,1997,67,NA
Ctenodon martii,1994,19,NA
Ctenodon martii,1997,57,NA
Ctenodon martii,1996,77,NA
Ctenodon martii,1984,20,NA
Ctenodon martii,1984,82,NA
Ctenodon martii,1984,89,NA
Ctenodon martii,1984,80,NA
Ctenodon martii,1984,113,NA
Ctenodon martii,2003,120,NA
Ctenodon martii,2010,28,NA
Ctenodon martii,2010,27,NA
Ctenodon martii,2008,66,NA
Ctenodon martii,2008,48,NA
Ctenodon martii,1984,82,NA
Ctenodon martii,1977,61,NA
Ctenodon martii,1992,37,NA
Ctenodon martii,1991,91,NA
Ctenodon martii,1991,86,NA
Ctenodon martii,1991,84,NA
Ctenodon martii,1984,82,NA
Ctenodon martii,1984,89,NA
Ctenodon martii,1984,80,NA
Ctenodon martii,1982,15,NA
Ctenodon martii,1972,18,NA
Ctenodon martii,2006,67,NA
Ctenodon martii,2002,96,NA
Ctenodon martii,2002,19,NA
Ctenodon martii,1994,72,NA
Ctenodon martii,1971,115,NA
Ctenodon martii,1983,56,NA
